SchoolID,SchoolName,Language,Gender 
603,Wadi Mishra Shala No. 3,Gujarati,Mishra
611,Wadi Marathi Mishra Shala No. 11,Marathi,Mishra
614,Wadi Mishra Shala No. 14,Gujarati,Mishra
615,Wadi Mishra Shala No. 15,Gujarati,Mishra
616,Wadi Kumar Shala No. 16,Gujarati,Kumar
617,Wadi Marathi Mishra Shala No. 17,Marathi,Mishra
618,Wadi Kumar Shala No. 18,Gujarati,Kumar
619,Wadi Mishra Shala No. 19,Gujarati,Mishra
621,Wadi Mishra Shala No. 21,Gujarati,Mishra
622,Wadi Mishra Shala No. 22,Gujarati,Mishra
623,Wadi Kanya Shala No. 23,Gujarati,Kanya
624,Wadi Mishra Shala No. 24,Gujarati,Mishra
625,Wadi Kumar Shala No. 25,Gujarati,Kumar
626,Wadi Hindi Mishra Shala No. 26,Hindi,Mishra
632,Wadi Kanya Shala No. 32,Gujarati,Kanya
633,Wadi Kanya Shala No. 33,Gujarati,Kanya
634,Wadi Mishra Shala No. 34,Gujarati,Mishra
637,Wadi Mishra Shala No. 37,Gujarati,Mishra
638,Wadi Hindi Mishra Shala No. 38,Hindi,Mishra
639,Wadi Mishra Shala No. 39,Gujarati,Mishra
640,Wadi Mishra Shala No. 40,Gujarati,Mishra
