,city,s,z,rpre,r,blkpct,medhhi,medage,cands,medhhi1000,sF,zF,Newspaper,pop
Saginaw,Saginaw,1,0,17,16,43.29999924,26485,30.70000076,16,26.485,1,Ctrl,NA,61799
Sioux City,Sioux City,1,1,21,22,2.400000095,37429,33.40000153,6,37.429,1,Trt,Sioux City Journal,85013
Battle Creek,Battle Creek,2,0,13,14,17.79999924,35491,34.70000076,21,35.491,2,Ctrl,NA,53364
Midland,Midland,2,1,12,7,1.799999952,48444,36.20000076,6,48.444,2,Trt,Midland Daily News,41685
Oxford,Oxford,3,0,26,23,4.300000191,25164,21.29999924,9,25.164,3,Ctrl,NA,22317
Lowell,Lowell,3,1,25,27,4.199999809,39192,31.39999962,18,39.192,3,Trt,Lowell Sun,105167
Yakima,Yakima,4,0,48,58,2,29475,31.39999962,6,29.475,4,Ctrl,NA,71845
Richland,Richland,4,1,41,61,1.399999976,53092,37.70000076,10,53.092,4,Trt,Tri-City Herald,38708
